(0, 0), 1
(1, 0), 2
(2, 0), 1
(3, 0), 1
(4, 0), 1
(5, 0), 1
(6, 0), 1
(7, 0), 1
(8, 0), 1
(9, 0), 1
(10, 0), 1
(11, 0), 2
(12, 0), 1
(13, 0), 1
(14, 0), 1
(15, 0), 1
(16, 0), 1
(17, 0), 1
(18, 0), 1
(19, 0), 1
(20, 0), 1
(21, 0), 1
(22, 0), 2
(23, 0), 1
(24, 0), 1
(25, 0), 1
(26, 0), 2
(27, 0), 1
(28, 0), 1
(29, 0), 1
(30, 0), 1
(31, 0), 1
(32, 0), 1
(33, 0), 1
(34, 0), 1
(35, 0), 1
(36, 0), 1
(37, 0), 1
(38, 0), 1
(39, 0), 1
(40, 0), 1
(41, 0), 1
(42, 0), 1
(43, 0), 1
(44, 0), 1
(45, 0), 1
(46, 0), 1
(47, 0), 1
(48, 0), 1
(49, 0), 1
(50, 0), 1
(51, 0), 1
(52, 0), 1
(53, 0), 1
(54, 0), 1
(55, 0), 1
(0, 1), 2
(1, 1), 2
(2, 1), 1
(3, 1), 1
(4, 1), 1
(5, 1), 1
(6, 1), 2
(7, 1), 1
(8, 1), 1
(9, 1), 1
(10, 1), 1
(11, 1), 2
(12, 1), 2
(13, 1), 2
(14, 1), 2
(15, 1), 2
(16, 1), 2
(17, 1), 2
(18, 1), 2
(19, 1), 2
(20, 1), 2
(21, 1), 2
(22, 1), 2
(23, 1), 1
(24, 1), 1
(25, 1), 1
(26, 1), 2
(27, 1), 1
(28, 1), 1
(29, 1), 1
(30, 1), 1
(31, 1), 1
(32, 1), 1
(33, 1), 1
(34, 1), 1
(35, 1), 1
(36, 1), 1
(37, 1), 1
(38, 1), 1
(39, 1), 1
(40, 1), 1
(41, 1), 1
(42, 1), 1
(43, 1), 1
(44, 1), 1
(45, 1), 1
(46, 1), 1
(47, 1), 1
(48, 1), 1
(49, 1), 1
(50, 1), 1
(51, 1), 1
(52, 1), 1
(53, 1), 1
(54, 1), 1
(55, 1), 1
(0, 2), 1
(1, 2), 1
(2, 2), 1
(3, 2), 1
(4, 2), 1
(5, 2), 2
(6, 2), 2
(7, 2), 6
(8, 2), 6
(9, 2), 6
(10, 2), 6
(11, 2), 1
(12, 2), 1
(13, 2), 1
(14, 2), 1
(15, 2), 1
(16, 2), 1
(17, 2), 1
(18, 2), 1
(19, 2), 1
(20, 2), 1
(21, 2), 1
(22, 2), 1
(23, 2), 1
(24, 2), 1
(25, 2), 1
(26, 2), 2
(27, 2), 2
(28, 2), 2
(29, 2), 2
(30, 2), 1
(31, 2), 1
(32, 2), 1
(33, 2), 1
(34, 2), 1
(35, 2), 1
(36, 2), 1
(37, 2), 1
(38, 2), 1
(39, 2), 1
(40, 2), 1
(41, 2), 1
(42, 2), 1
(43, 2), 1
(44, 2), 1
(45, 2), 1
(46, 2), 1
(47, 2), 1
(48, 2), 1
(49, 2), 1
(50, 2), 1
(51, 2), 1
(52, 2), 1
(53, 2), 1
(54, 2), 1
(55, 2), 1
